index,systemID,year,date
1,annidi-01-1877,1877,1877-01-01
2,annidi-02-1878,1878,1878-01-01
3,annidi-03-1879,1879,1879-01-01
4,annidi-04-1880,1880,1880-01-01
5,annidi-05-1882,1882,1882-01-01
6,annidi-06-1882,1882,1882-01-01
7,annidi-07-1885,1885,1885-01-01
8,annidi-08-1886,1886,1886-01-01
9,annidi-09-1888,1888,1888-01-01
10,annidi-10-1889,1889,1889-01-01
11,annidi-11-1891,1891,1891-01-01
12,annidi-12-1892,1892,1892-01-01
13,annidi-13-1894,1894,1894-01-01
14,annidi-14-1895,1895,1895-01-01
15,annidi-15-1896,1896,1896-01-01
16,annidi-16-1897,1897,1897-01-01
17,annidi-17-1898,1898,1898-01-01
18,annidi-18-1900,1900,1900-01-01
19,annidi-19-1902,1902,1902-01-01
20,annidi-20-1904,1904,1904-01-01
21,annidi-21-1906,1906,1906-01-01
22,annidi-22-1908,1908,1908-01-01
23,annidi-23-1910,1910,1910-01-01
24,annidi-24-1911,1911,1911-01-01
25,annidi-25-1912,1912,1912-01-01
26,annidi-26-1913,1913,1913-01-01
27,annidi-27-1919,1919,1919-01-01
28,annidi-28-1921,1921,1921-01-01
29,annidi-29-1922,1922,1922-01-01
30,annidi-30-1923,1923,1923-01-01
31,annidi-31-1924,1924,1924-01-01
32,annidi-32-1925,1925,1925-01-01
33,annidi-33-1927,1927,1927-01-01
34,annidi-34-1928,1928,1928-01-01
35,annidi-35-1929-1,1929,1929-01-01
35,annidi-35-1929-2,1929,1929-01-01
36,annidi-36-1931,1931,1931-01-01
37,annidi-37-1932,1932,1932-01-01
38,annidi-38-1934,1934,1934-01-01
39,annidi-39-1936,1936,1936-01-01
40,annidi-40-1937,1937,1937-01-01
