index,SystemID,year
1,rdilc-1869,1869
2,rdilc-1870,1870
3,rdilc-1871,1871
4,rdilc-1872,1872
5,rdilc-1873,1873
6,rdilc-1874,1874
7,rdilc-1875,1875
8,rdilc-1876,1876
9,rdilc-1877,1877
10,rdilc-1878,1878
11,rdilc-1879,1879
12,rdilc-1880,1880
13,rdilc-1881,1881
14,rdilc-1882,1882
15,rdilc-1883,1883
16,rdilc-1884,1884
17,rdilc-1885,1885
18,rdilc-1886,1886
19,rdilc-1887,1887
20,rdilc-1888,1888
21,rdilc-1889,1889
22,rdilc-1890,1890
23,rdilc-1891,1891
24,rdilc-1892,1892
25,rdilc-1893,1893
26,rdilc-1894,1894
27,rdilc-1895,1895
28,rdilc-1896,1896
29,rdilc-1897,1897
30,rdilc-1898,1898
31,rdilc-1899,1899
32,rdilc-1900,1900
33,rdilc-1901,1901
34,rdilc-1902,1902
35,rdilc-1903,1903
36,rdilc-1904,1904
37,rdilc-1905,1905
38,rdilc-1906,1906
39,rdilc-1907,1907
40,rdilc-1908,1908
41,rdilc-1909,1909
42,rdilc-1910,1910
43,rdilc-1911,1911
44,rdilc-1912,1912
45,rdilc-1913,1913
46,rdilc-1914,1914
47,rdilc-1921,1921
48,rdilc-1922,1922
49,rdilc-1923,1923
50,rdilc-1924,1924
51,rdilc-1925,1925
52,rdilc-1926,1926
53,rdilc-1927,1927
54,rdilc-1928,1928
55,rdilc-1929,1929
56,rdilc-1930,1930
57,rdilc-1931,1931
58,rdilc-1932,1932
59,rdilc-1933,1933
60,rdilc-1934,1934
61,rdilc-1935,1935
62,rdilc-1936,1936
63,rdilc-1937,1937
64,rdilc-1938,1938
65,rdilc-1939,1939
